Date,Open,High,Low,Close,Volume
2017-05-25,35.7048,35.8421,35.5361,35.7363,82761343
2017-05-26,35.7595,35.8147,35.6039,35.6753,94271489
2017-05-30,35.6312,35.8617,35.6096,35.6899,86636616
2017-05-31,35.7527,35.7971,35.3861,35.4713,105311750
2017-06-01,35.5705,35.6096,35.3485,35.5723,70554654
2017-06-02,35.6703,36.1022,35.5036,36.1022,119300156
2017-06-05,35.8392,35.8655,35.641,35.7462,108880918
2017-06-06,35.7383,36.1825,35.7176,35.8655,114519237
2017-06-07,35.9991,36.2229,35.8705,36.0826,90518058
2017-06-08,36.0531,36.1217,35.8539,35.9915,91061835
2017-06-09,36.0384,36.0384,33.9103,34.594,278993244
2017-06-12,33.8445,33.9267,33.0908,33.7679,310920321
2017-06-13,34.174,34.2389,33.7062,34.0476,146826765
2017-06-14,34.2507,34.2507,33.4009,33.7062,135456037
2017-06-15,33.2811,33.5518,33.024,33.5106,136344955
2017-06-16,33.3892,33.5558,33.0212,33.0377,216463396
2017-06-19,33.3596,34.0807,33.3596,33.9858,139806707
2017-06-20,34.1094,34.1094,33.6569,33.6735,107165004
2017-06-21,33.7933,33.9219,33.5804,33.8746,91574737
2017-06-22,33.8523,34.0739,33.6982,33.82,82188776
2017-06-23,33.7002,34.174,33.6962,33.971,152541702
2017-06-26,34.176,34.4342,33.7581,33.8627,110579894
2017-06-27,33.6735,33.9435,33.3498,33.3772,106498526
2017-06-28,33.5538,33.9316,33.2439,33.8647,94977962
2017-06-29,33.6022,33.7002,33.0397,33.3645,135449698
2017-06-30,33.5443,33.6609,33.3892,33.4459,99060510
2017-07-03,33.6413,33.7383,33.2301,33.3224,61483370
2017-07-05,33.3675,33.6216,33.1427,33.4618,92803935
2017-07-06,33.2105,33.3224,33.0713,33.1427,103825746
2017-07-07,33.1841,33.6118,33.1841,33.4844,80608307
2017-07-10,33.4667,33.8926,33.2927,33.6865,90778027
2017-07-11,33.608,33.8706,33.5305,33.7952,84930412
2017-07-12,33.8746,33.9463,33.6296,33.8445,107067218
2017-07-13,33.7875,34.4802,33.7738,34.3143,108006061
2017-07-14,34.3607,34.6793,34.2123,34.6097,86628954
2017-07-17,34.5549,35.0463,34.4999,34.7333,102361050
2017-07-18,34.6489,34.8628,34.5222,34.8532,76867381
2017-07-19,34.9433,35.163,34.8206,35.072,90045676
2017-07-20,35.1799,35.2366,34.8757,34.9118,74068650
2017-07-21,34.8305,34.9336,34.5706,34.8943,108177235
2017-07-24,34.969,35.3996,34.8108,35.32,92450791
2017-07-25,35.2514,35.7294,35.2514,35.4683,81085983
2017-07-26,35.6135,35.7462,35.5437,35.641,67755487
2017-07-27,35.7098,35.7576,34.2044,34.963,139667626
2017-07-28,34.8078,34.8856,34.646,34.7205,74050654
2017-07-31,34.8108,34.9098,34.3967,34.5352,84891785
2017-08-01,34.6236,34.8836,34.4635,34.8453,146999770
2017-08-02,36.9951,37.0961,36.2642,36.4897,300300847
2017-08-03,36.4681,36.5065,35.9991,36.1265,114651802
2017-08-04,36.2446,36.5465,36.1542,36.3211,88367878
2017-08-07,36.4711,36.9108,36.3838,36.8833,94002727
2017-08-08,36.8333,37.5819,36.7577,37.1667,155596966
2017-08-09,36.9903,37.4524,36.9558,37.4033,112239052
2017-08-10,37.2768,37.3,36.0501,36.2111,170109885
2017-08-11,36.5065,36.9756,36.3867,36.7163,112540658
2017-08-14,37.1434,37.3494,37.0097,37.264,94688239
2017-08-15,37.4554,37.8103,37.3318,37.6711,126022406
2017-08-16,37.7515,37.8879,37.3347,37.5231,118487682
2017-08-17,37.4259,37.467,36.7989,36.8048,117942440
2017-08-18,36.8048,37.1794,36.5331,36.7202,117521712
2017-08-21,36.7202,36.8117,36.1612,36.6495,112985542
2017-08-22,36.8931,37.3,36.843,37.2471,92516578
2017-08-23,37.0842,37.4131,37.0392,37.2961,83122237
2017-08-24,37.4033,37.4747,36.9706,37.1306,84943574
2017-08-25,37.215,37.4328,37.1306,37.2669,109240054
2017-08-28,37.3318,37.7664,37.2837,37.6399,110228339
2017-08-29,37.3248,38.0381,37.3,37.9862,126355413
2017-08-30,38.1853,38.2068,37.9125,38.0872,116769868
2017-08-31,38.1501,38.3512,38.1167,38.2315,114724310
2017-09-01,38.417,38.4511,38.1471,38.2412,71099066
2017-09-05,38.1755,38.2883,37.4328,37.784,126559289
2017-09-06,37.937,38.0057,37.4259,37.7447,92703284
2017-09-07,37.786,37.8232,37.3864,37.5965,93968354
2017-09-08,37.5014,37.57,36.9656,36.9883,121926575
2017-09-11,37.4201,37.7762,37.2739,37.6476,135187333
2017-09-12,37.9125,38.2216,37.0147,37.5014,307150215
2017-09-13,37.2699,37.2913,36.8165,37.215,192455209
2017-09-14,37.0648,37.1568,36.8585,36.9049,101400145
2017-09-15,36.9508,37.5278,36.8371,37.2719,209531651
2017-09-18,37.3278,37.4201,36.8371,36.9981,120785969
2017-09-19,37.1824,37.2442,36.943,37.0077,88336574
2017-09-20,36.8147,36.901,35.8617,36.3867,223901194
2017-09-21,36.3258,36.3258,35.6135,35.7576,160293126
2017-09-22,35.4389,35.4977,35.1042,35.4122,199812663
2017-09-25,34.969,35.3976,34.7747,35.1012,190313985
2017-09-26,35.3861,35.8804,35.3633,35.7078,157103182
2017-09-27,35.8539,36.0699,35.7912,35.955,108964281
2017-09-28,35.8724,35.9678,35.6019,35.7363,94298689
2017-09-29,35.7245,35.9303,35.4349,35.9283,112660404
2017-10-02,35.9618,36.0089,35.6068,35.8558,80136879
2017-10-03,35.9012,36.1562,35.8774,36.0109,69569956
2017-10-04,35.8129,35.8655,35.5437,35.7763,86284672
2017-10-05,35.9421,36.2406,35.911,36.2277,91214846
2017-10-06,36.1285,36.2505,36.0334,36.2051,74573779
2017-10-09,36.3288,36.5351,36.2505,36.3357,69675537
2017-10-10,36.3838,36.8371,36.1582,36.3504,66930247
2017-10-11,36.3671,36.5929,36.3132,36.4947,72411204
2017-10-12,36.4467,36.6892,36.3092,36.3711,70264540
2017-10-13,36.5351,36.6674,36.4613,36.5959,70233197
2017-10-16,36.8147,37.3,36.7577,37.2719,103357318
2017-10-17,37.2471,37.5034,37.1208,37.4131,81379323
2017-10-18,37.4003,37.467,37.2042,37.2424,69729652
2017-10-19,36.5398,36.6183,36.1415,36.3691,181812544
2017-10-20,36.5094,36.7791,36.3642,36.4221,102565788
2017-10-23,36.5731,36.7674,36.2523,36.4072,94194946
2017-10-24,36.432,36.7007,36.4122,36.6223,75657215
2017-10-25,36.5789,36.7331,36.1982,36.4613,90837979
2017-10-26,36.6545,36.7969,36.5465,36.6987,72630597
2017-10-27,37.1356,38.1402,37.0018,38.0204,190453775
2017-10-30,38.2068,39.1841,38.1688,38.8674,191737850
2017-10-31,39.144,39.5482,38.9163,39.413,154617936
2017-11-01,39.6024,39.6188,38.6121,38.9036,144284588
2017-11-02,39.0823,39.2832,38.5326,39.1938,177551212
2017-11-03,40.5668,40.6288,39.8926,40.2135,254782302
2017-11-06,40.1821,40.7953,40.0369,40.6258,149167863
2017-11-07,40.5453,40.8268,40.5453,40.7523,104391895
2017-11-08,40.7208,41.0887,40.6451,41.0887,104504256
2017-11-09,40.8228,41.0575,40.3645,41.0053,126224382
2017-11-10,40.971,41.0377,40.7738,40.8659,107407701
2017-11-13,40.5961,40.8248,40.5715,40.7072,72482299
2017-11-14,40.4904,40.5911,40.0537,40.0888,105535894
2017-11-15,39.7662,39.8466,39.4002,39.558,123945112
2017-11-16,40.0537,40.2117,39.8426,40.0369,100890078
2017-11-17,40.0212,40.1017,39.6947,39.81,93542530
2017-11-20,39.8397,39.9045,39.6748,39.7682,68562522
2017-11-21,39.9583,40.6421,39.9583,40.5117,107066892
2017-11-22,40.5628,40.9435,40.4934,40.9338,109250319
2017-11-24,40.969,41.0644,40.8621,40.9367,59949980
2017-11-27,40.9564,40.9634,40.5579,40.7306,88014074
2017-11-28,40.7807,40.912,40.2087,40.4962,112848215
2017-11-29,40.39,40.4606,39.1115,39.655,177265489
2017-11-30,39.874,40.2743,39.4159,40.2057,177329818
2017-12-01,39.7613,40.1643,39.4294,40.0241,169831045
2017-12-04,40.3548,40.388,39.6917,39.7304,138965812
2017-12-05,39.553,40.1301,39.4061,39.6947,116751215
2017-12-06,39.1918,39.82,38.941,39.5511,121383506
2017-12-07,39.5452,39.8759,39.5189,39.6161,109655221
2017-12-08,39.8887,40.0113,39.4961,39.6286,99564848
2017-12-11,39.5875,40.4537,39.4894,40.4,146454531
2017-12-12,40.2772,40.3323,40.1155,40.1693,82885659
2017-12-13,40.3596,40.606,40.241,40.3067,100026389
2017-12-14,40.3353,40.5088,40.1594,40.294,87372841
2017-12-15,40.6258,40.7493,40.3498,40.7072,171517763
2017-12-18,40.914,41.4547,40.91,41.2791,125603602
2017-12-19,40.9515,41.0397,40.7306,40.8327,117083656
2017-12-20,40.912,41.0476,40.5384,40.7933,100254874
2017-12-21,40.7493,41.1859,40.7334,40.9465,89117054
2017-12-22,40.8689,41.0476,40.8248,40.9465,69840566
2017-12-26,39.9622,40.1175,39.7044,39.9075,141661816
2017-12-27,39.7975,39.9583,39.7111,39.9143,91806564
2017-12-28,40.0113,40.2057,39.8857,40.031,70341140
2017-12-29,39.8946,39.9123,39.5925,39.5945,110892656
2018-01-02,39.813,40.3127,39.6024,40.3038,109069688
2018-01-03,40.3675,40.8366,40.2312,40.2969,125940453
2018-01-04,40.3694,40.5891,40.2605,40.4874,95519129
2018-01-05,40.5813,41.0347,40.4934,40.9435,100851184
2018-01-08,40.7933,41.0887,40.6974,40.8032,87746713
2018-01-09,40.8366,40.9594,40.5735,40.7876,92032835
2018-01-10,40.5156,40.7807,40.4805,40.7778,102314952
2018-01-11,40.8466,41.0615,40.8248,41.0122,79726241
2018-01-12,41.2231,41.4941,41.0984,41.4283,108272512
2018-01-16,41.6216,41.9731,41.2132,41.2251,126158897
2018-01-17,41.2152,41.9414,40.9614,41.9051,146466536
2018-01-18,41.9691,42.1396,41.7069,41.9434,132880948
2018-01-19,41.7914,42.0169,41.5038,41.757,134544492
2018-01-22,41.4794,41.594,41.3203,41.4127,115667604
2018-01-23,41.4794,41.9856,41.3694,41.4214,139079089
2018-01-24,41.4665,41.4794,40.5255,40.7611,219592102
2018-01-25,40.8268,40.9318,39.8976,40.0389,177150058
2018-01-26,40.241,40.241,39.7877,40.1273,167076509
2018-01-29,39.813,39.813,39.0892,39.2989,216130312
2018-01-30,38.7309,39.1608,38.5346,39.0666,195339155
2018-01-31,39.0408,39.4159,38.9508,39.1756,137937496
2018-02-01,39.1144,39.456,39.0143,39.254,196278710
2018-02-02,38.8406,39.0242,37.4592,37.5524,367485324
2018-02-05,37.2207,38.3374,36.4966,36.6105,308773185
2018-02-06,36.2277,38.302,36.0305,38.1451,291674090
2018-02-07,38.1559,38.2295,37.2131,37.3178,220038418
2018-02-08,37.5034,37.6674,36.2798,36.3033,231575854
2018-02-09,36.9049,37.0911,35.2958,36.7479,300520068
2018-02-12,37.2325,38.5003,37.0048,38.2216,258721547
2018-02-13,38.0519,38.7075,37.9812,38.6102,138275165
2018-02-14,38.3001,39.3607,38.2658,39.3207,172324768
2018-02-15,39.8857,40.6677,39.7073,40.6421,216732408
2018-02-16,40.4943,41.0701,40.3518,40.5088,170780891
2018-02-20,40.4188,40.9367,40.2704,40.3714,144277252
2018-02-21,40.6031,40.9023,40.1723,40.1861,159137656
2018-02-22,40.3596,40.864,40.3383,40.5255,131764973
2018-02-23,40.7972,41.2665,40.768,41.233,143808460
2018-02-26,41.4283,42.1446,41.3959,42.0456,161160494
2018-02-27,42.0739,42.4037,41.8599,41.911,165703163
2018-02-28,42.1131,42.4321,41.8335,41.8502,160825109
2018-03-01,41.9463,42.232,40.5628,41.1142,207732606
2018-03-02,40.5961,41.4165,40.5137,41.3959,163684775
2018-03-05,41.1643,41.757,41.0003,41.5353,120894496
2018-03-06,41.7983,41.8798,41.3773,41.499,101259200
2018-03-07,41.0984,41.3125,40.9396,41.1211,134950345
2018-03-08,41.228,41.6099,41.131,41.5646,101197902
2018-03-09,41.8109,42.2857,41.6716,42.2808,137000769
2018-03-12,42.3574,42.8481,42.3378,42.6894,137094078
